"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Goroka Airport,Goroka,Papua New Guinea,,GKA,AYGA,-6.081689834590001,145.391998291,5282,3,,10.0,U,,airport,OurAirports,1,,,,Pacific/Port_Moresby
Madang Airport,Madang,Papua New Guinea,,MAG,AYMD,-5.20707988739,145.789001465,20,4,,10.0,U,,airport,OurAirports,2,,,,Pacific/Port_Moresby
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,5,,10.0,U,,airport,OurAirports,3,,,,Pacific/Port_Moresby
Nadzab Airport,Nadzab,Papua New Guinea,,LAE,AYNZ,-6.569803,146.725977,239,6,,10.0,U,,airport,OurAirports,4,,,,Pacific/Port_Moresby
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,,POM,AYPY,-9.443380355834961,147.22000122070312,146,7,,10.0,U,,airport,OurAirports,5,,,,Pacific/Port_Moresby
Wewak International Airport,Wewak,Papua New Guinea,,WWK,AYWK,-3.58383011818,143.669006348,19,8,,10.0,U,,airport,OurAirports,6,,,,Pacific/Port_Moresby
Narsarsuaq Airport,Narssarssuaq,Greenland,,UAK,BGBW,61.1604995728,-45.4259986877,112,9,,-3.0,E,,airport,OurAirports,7,,,,America/Godthab
Godthaab / Nuuk Airport,Godthaab,Greenland,,GOH,BGGH,64.19090271,-51.6781005859,283,10,,-3.0,E,,airport,OurAirports,8,,,,America/Godthab
Kangerlussuaq Airport,Sondrestrom,Greenland,,SFJ,BGSF,67.0122218992,-50.7116031647,165,11,,-3.0,E,,airport,OurAirports,9,,,,America/Godthab
Thule Air Base,Thule,Greenland,,THU,BGTL,76.5311965942,-68.7032012939,251,12,,-4.0,E,,airport,OurAirports,10,,,,America/Thule
Akureyri Airport,Akureyri,Iceland,,AEY,BIAR,65.66000366210938,-18.07270050048828,6,13,,0.0,N,,airport,OurAirports,11,,,,Atlantic/Reykjavik
Egilsstaðir Airport,Egilsstadir,Iceland,,EGS,BIEG,65.2833023071289,-14.401399612426758,76,14,,0.0,N,,airport,OurAirports,12,,,,Atlantic/Reykjavik
Hornafjörður Airport,Hofn,Iceland,,HFN,BIHN,64.295601,-15.2272,24,15,,0.0,N,,airport,OurAirports,13,,,,Atlantic/Reykjavik
Húsavík Airport,Husavik,Iceland,,HZK,BIHU,65.952301,-17.426001,48,16,,0.0,N,,airport,OurAirports,14,,,,Atlantic/Reykjavik
Ísafjörður Airport,Isafjordur,Iceland,,IFJ,BIIS,66.05809783935547,-23.135299682617188,8,17,,0.0,N,,airport,OurAirports,15,,,,Atlantic/Reykjavik
Keflavik International Airport,Keflavik,Iceland,,KEF,BIKF,63.985000610352,-22.605600357056,171,18,,0.0,N,,airport,OurAirports,16,,,,Atlantic/Reykjavik
Patreksfjörður Airport,Patreksfjordur,Iceland,,PFJ,BIPA,65.555801,-23.965,11,19,,0.0,N,,airport,OurAirports,17,,,,Atlantic/Reykjavik
Reykjavik Airport,Reykjavik,Iceland,,RKV,BIRK,64.1299972534,-21.9405994415,48,20,,0.0,N,,airport,OurAirports,18,,,,Atlantic/Reykjavik
Siglufjörður Airport,Siglufjordur,Iceland,,SIJ,BISI,66.133301,-18.9167,10,21,,0.0,N,,airport,OurAirports,19,,,,Atlantic/Reykjavik
