"name","iata","icao","callsign","country","country_code","alid","uid","alias","mode","active","source","frequency","airline_id"
Unknown,-,N/A,"","",,1,,"",F,Y,,0,-1
Private flight,-,N/A,"","",,2,,"",F,Y,,0,1
"135 Airways","",GNL,GENERAL,United States,,3,,"",F,N,,0,2
"1Time Airline","1T",RNX,NEXTIME,South Africa,,4,,"",F,Y,,0,3
"2 Sqn No 1 Elementary Flying Training School","",WYT,"",United Kingdom,,5,,"",F,N,,0,4
"213 Flight Unit","",TFU,"",Russia,,6,,"",F,N,,0,5
"223 Flight Unit State Airline","",CHD,CHKALOVSK-AVIA,Russia,,7,,"",F,N,,0,6
"224th Flight Unit","",TTF,CARGO UNIT,Russia,,8,,"",F,N,,0,7
"247 Jet Ltd","",TWF,CLOUD RUNNER,United Kingdom,,9,,"",F,N,,0,8
"3D Aviation","",SEC,SECUREX,United States,,10,,"",F,N,,0,9
"40-Mile Air",Q5,MLA,MILE-AIR,United States,,11,,"",F,Y,,0,10
"4D Air","",QRT,QUARTET,Thailand,,12,,"",F,N,,0,11
"611897 Alberta Limited","",THD,DONUT,Canada,,13,,"",F,N,,0,12
Ansett Australia,AN,AAA,ANSETT,Australia,,14,,"",F,Y,,0,13
Abacus International,"1B","","",Singapore,,15,,"",F,Y,,0,14
Abelag Aviation,W9,AAB,ABG,Belgium,,16,,"",F,N,,0,15
Army Air Corps,"",AAC,ARMYAIR,United Kingdom,,17,,"",F,N,,0,16
Aero Aviation Centre Ltd.,"",AAD,SUNRISE,Canada,,18,,"",F,N,,0,17
Aero Servicios Ejecutivos Internacionales,"",SII,ASEISA,Mexico,,19,,"",F,N,,0,18
Aero Biniza,"",BZS,BINIZA,Mexico,,20,,"",F,N,,0,19
Aero Albatros,"",ABM,ALBATROS ESPANA,Spain,,21,,"",F,N,,0,20
Aigle Azur,ZI,AAF,AIGLE AZUR,France,,22,,"",F,Y,,0,21
Aloha Airlines,AQ,AAH,ALOHA,United States,,23,,"",F,Y,,0,22
Alaska Island Air,"",AAK,ALASKA ISLAND,United States,,24,,"",F,N,,0,23
American Airlines,AA,AAL,AMERICAN,United States,,25,,"",F,Y,,0,24
Aviation Management Corporation,"",AAM,AM CORP,United States,,26,,"",F,N,,0,25
Atlantis Airlines (USA),"",AAO,ATLANTIS AIR,United States,,27,,"",F,N,,0,26
Aerovista Airlines,"",AAP,AEROVISTA GROUP,United Arab Emirates,,28,,"",F,N,,0,27
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,,29,,"",F,Y,,0,28
Askari Aviation,"4K",AAS,AL-AAS,Pakistan,,30,,"",F,Y,,0,29
Australia Asia Airlines,"",AAU,AUSTASIA,Australia,,31,,"",F,N,,0,30
Astro Air International,"",AAV,ASTRO-PHIL,United States,,32,,"",F,N,,0,31
Afriqiyah Airways,"8U",AAW,AFRIQIYAH,Libya,,33,,"",F,Y,,0,32
Afrinat International Airlines,Q9,AFU,"",Gambia,,34,,"",F,N,,0,33
Afric'air Express,"",AAX,AFREX,Ivory Coast,,35,,"",F,N,,0,34
Allegiant Air,G4,AAY,ALLEGIANT,United States,,36,,"",F,Y,,0,35
Angus Aviation,"",AAZ,ANGUS,Canada,,37,,"",F,N,,0,36
Artem-Avia,"",ABA,ARTEM-AVIA,Ukraine,,38,,"",F,N,,0,37
African Business and Transportations,"",ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,,39,,"",F,N,,0,38
Aban Air,K5,ABE,ABAN,Iran,,40,,"",F,n,,0,39
Aerial Oy,"",ABF,SKYWINGS,Finland,,41,,"",F,N,,0,40
Abakan-Avia,"",ABG,ABAKAN-AVIA,Russia,,42,,"",F,N,,0,41
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,,43,,"",F,Y,,0,42
Abaet,"",ABJ,Abaet,Brazil,,44,,"",F,N,,0,43
Alberta Citylink,"",ABK,ALBERTA CITYLINK,Canada,,45,,"",F,N,,0,44
APSA Colombia,"",ABO,AEROEXPRESO,Colombia,,46,,"",F,N,,0,45
Aerovias Bueno,"",ABU,AEROBUENO,Colombia,,47,,"",F,N,,0,46
Aerocenter,"",ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,,48,,"",F,N,,0,47
Antrak Air,"04",ABV,ANTRAK,Ghana,,49,,"",F,N,,0,48
Airborne Express,GB,ABX,ABEX,United States,,50,,"",F,N,,0,49
ABX Air,GB,ABX,ABEX,United States,,51,,"",F,N,,0,50
ATA Brasil,"",ABZ,ATA-BRAZIL,Brazil,,52,,"",F,N,,0,51
Avcard Services,"",ACC,"",United Kingdom,,53,,"",F,N,,0,52
Academy Airlines,"",ACD,ACADEMY,United States,,54,,"",F,N,,0,53
Aero Comondu,"",ACO,AERO COMONDU,Mexico,,55,,"",F,N,,0,54
Astral Aviation,"8V",ACP,ASTRAL CARGO,Kenya,,56,,"",F,Y,,0,55
Air Cess,"",ACS,"",Liberia,,57,,"",F,N,,0,56
Air Aurora,"",AAI,BOREALIS,United States,,58,,"",F,N,,0,57
Air Cargo Transportation System,"",ACU,AFRISPIRIT,Kenya,,59,,"",F,N,,0,58
Air Charter Service,"",ACV,"",United Kingdom,,60,,"",F,N,,0,59
Aero Asia International,E4,RSO,AERO ASIA,Pakistan,,61,,"",F,N,,0,60
Air Charters,"",ACX,PARAIR,Canada,,62,,"",F,N,,0,61
Air Togo,YT,TGA,AIR TOGO,Togo,,63,,"",F,N,,0,62
Air Somalia,"",RSM,AIR SOMALIA,Somali Republic,,64,,"",F,N,,0,63
Atlas Cargo Lines,"",ACY,ATLAS CARGOLINES,Morocco,,65,,"",F,N,,0,64
Airservices Australia,"",ADA,AUSCAL,Australia,,66,,"",F,N,,0,65
Advance Leasing Company,"4G","","",United States,,67,,"",F,N,,0,66
Aztec Worldwide Airlines,"7A","","",United States,,68,,"",F,N,,0,67
Air Tindi,"8T","","",Canadian Territories,,69,,"",F,Y,,0,68
Antonov Airlines,"",ADB,ANTONOV BUREAU,Ukraine,,70,,"",F,N,,0,69
Air Atlantic Dominicana,"",ADC,ATLAN-DOMINICAN,Dominican Republic,,71,,"",F,N,,0,70
Advanced Air Co.,"",ADD,"",Japan,,72,,"",F,N,,0,71
Ada Air,ZY,ADE,ADA AIR,Albania,,73,,"",F,Y,,0,72
Aerea Flying Training Organization,"",ADG,AEREA TRAINING,Spain,,74,,"",F,N,,0,73
Audeli Air,"",ADI,AUDELI,Spain,,75,,"",F,N,,0,74
Abicar,"",ADJ,ABICAR,Ivory Coast,,76,,"",F,N,,0,75
ADC Airlines,Z7,ADK,ADCO,Nigeria,,77,,"",F,N,,0,76
Aero Dynamics,"",ADL,COTSWOLD,United Kingdom,,78,,"",F,N,,0,77
Aerolineas Dominicanas,"",ADM,DOMINAIR,Dominican Republic,,79,,"",F,N,,0,78
Aerodienst GmbH,"",ADN,AERODIENST,Germany,,80,,"",F,N,,0,79
Aerodiplomatic,"",ADP,AERODIPLOMATIC,Mexico,,81,,"",F,N,,0,80
Aerodyne,"",ADY,AERODYNE,United States,,82,,"",F,N,,0,81
Avion Taxi,"",ADQ,AIR DATA,Canada,,83,,"",F,N,,0,82
Adria Airways,JP,ADR,ADRIA,Slovenia,,84,,"",F,Y,,0,83
